,data_set,serialized_model,q_train_size,ignore_layers,bits,alphabet_scalar,analog_test_acc,sd_test_acc,msq_test_acc
2020-08-10_16:30:10.934843,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],1.584962500721156,2,0.8921999931335449,0.7487000226974487,0.1347000002861023
2020-08-10_17:23:52.746352,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],1.584962500721156,3,0.8921999931335449,0.7350000143051147,0.14640000462532043
2020-08-10_18:14:49.684523,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],1.584962500721156,4,0.8921999931335449,0.6919000148773193,0.09910000115633011
2020-08-10_19:04:55.069445,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],1.584962500721156,5,0.8921999931335449,0.5626999735832214,0.10000000149011612
2020-08-10_19:53:11.540078,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],1.584962500721156,6,0.8921999931335449,0.351500004529953,0.10000000149011612
2020-08-10_20:41:18.124250,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],2.0,2,0.8921999931335449,0.7522000074386597,0.22089999914169312
2020-08-10_21:28:42.114971,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],2.0,3,0.8921999931335449,0.803600013256073,0.2800000011920929
2020-08-10_22:15:53.683029,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],2.0,4,0.8921999931335449,0.7488999962806702,0.17419999837875366
2020-08-10_23:03:02.852427,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],2.0,5,0.8921999931335449,0.6747999787330627,0.1835000067949295
2020-08-10_23:49:50.468251,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],2.0,6,0.8921999931335449,0.5364999771118164,0.13899999856948853
2020-08-11_00:36:14.743620,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],3.0,2,0.8921999931335449,0.7942000031471252,0.4172999858856201
2020-08-11_01:22:23.191952,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],3.0,3,0.8921999931335449,0.8669999837875366,0.37540000677108765
2020-08-11_02:08:26.069296,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],3.0,4,0.8921999931335449,0.8709999918937683,0.5013999938964844
2020-08-11_02:54:34.054460,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],3.0,5,0.8921999931335449,0.8567000031471252,0.5651999711990356
2020-08-11_03:40:34.971521,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],3.0,6,0.8921999931335449,0.8600000143051147,0.5360000133514404
2020-08-11_04:26:23.334050,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],4.0,2,0.8921999931335449,0.8123999834060669,0.45249998569488525
2020-08-11_05:12:40.230752,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],4.0,3,0.8921999931335449,0.8777999877929688,0.7775999903678894
2020-08-11_05:58:59.885346,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],4.0,4,0.8921999931335449,0.8878999948501587,0.8442999720573425
2020-08-11_06:44:55.354350,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],4.0,5,0.8921999931335449,0.8888000249862671,0.8291000127792358
2020-08-11_07:30:41.955544,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],4.0,6,0.8921999931335449,0.8809999823570251,0.7831000089645386
