,data_set,np_seed,tf_seed,serialized_model,layer_widths,rectifier,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,alphabet_scalar,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-24_16:41:12.193948,mnist,0,0,Sequential2020-06-24_16:41:12.193977,"(1000,)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9832000136375427,0.6991999745368958,0.9034000039100647
2020-06-24_17:53:13.783449,mnist,0,0,Sequential2020-06-24_17:53:13.783481,"(1000,)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9832000136375427,0.9021999835968018,0.8889999985694885
2020-06-24_19:08:54.679317,mnist,0,0,Sequential2020-06-24_19:08:54.679351,"(800,)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9839000105857849,0.795799970626831,0.857699990272522
2020-06-24_20:01:22.529880,mnist,0,0,Sequential2020-06-24_20:01:22.529910,"(800,)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9839000105857849,0.9381999969482422,0.8452000021934509
2020-06-24_20:43:52.741990,mnist,0,0,Sequential2020-06-24_20:43:52.742022,"(500, 300)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9843999743461609,0.9466999769210815,0.920199990272522
2020-06-24_21:27:38.980802,mnist,0,0,Sequential2020-06-24_21:27:38.980833,"(500, 300)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9843999743461609,0.9750000238418579,0.7588000297546387
2020-06-24_22:35:08.002348,mnist,0,1,Sequential2020-06-24_22:35:08.002380,"(1000,)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9836999773979187,0.6826000213623047,0.9072999954223633
2020-06-24_23:41:29.654614,mnist,0,1,Sequential2020-06-24_23:41:29.654644,"(1000,)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9836999773979187,0.9187999963760376,0.9035999774932861
2020-06-25_00:33:59.460207,mnist,0,1,Sequential2020-06-25_00:33:59.460238,"(800,)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9811000227928162,0.8550999760627747,0.8970000147819519
2020-06-25_01:26:43.432046,mnist,0,1,Sequential2020-06-25_01:26:43.432077,"(800,)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9811000227928162,0.940500020980835,0.8924000263214111
2020-06-25_02:10:03.658594,mnist,0,1,Sequential2020-06-25_02:10:03.658625,"(500, 300)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9830999970436096,0.9480999708175659,0.8607000112533569
2020-06-25_02:53:03.263079,mnist,0,1,Sequential2020-06-25_02:53:03.263111,"(500, 300)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9830999970436096,0.9754999876022339,0.7950000166893005
2020-06-25_03:58:37.539350,mnist,1,0,Sequential2020-06-25_03:58:37.539381,"(1000,)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9832000136375427,0.6991999745368958,0.9034000039100647
2020-06-25_05:03:45.306774,mnist,1,0,Sequential2020-06-25_05:03:45.306807,"(1000,)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9832000136375427,0.9021999835968018,0.8889999985694885
2020-06-25_05:54:55.525039,mnist,1,0,Sequential2020-06-25_05:54:55.525072,"(800,)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9839000105857849,0.795799970626831,0.857699990272522
2020-06-25_06:46:48.809505,mnist,1,0,Sequential2020-06-25_06:46:48.809537,"(800,)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9839000105857849,0.9381999969482422,0.8452000021934509
2020-06-25_07:29:42.775165,mnist,1,0,Sequential2020-06-25_07:29:42.775196,"(500, 300)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9843999743461609,0.9466999769210815,0.920199990272522
2020-06-25_08:12:31.397115,mnist,1,0,Sequential2020-06-25_08:12:31.397146,"(500, 300)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9843999743461609,0.9750000238418579,0.7588000297546387
2020-06-25_09:17:10.099731,mnist,1,1,Sequential2020-06-25_09:17:10.099762,"(1000,)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9836999773979187,0.6826000213623047,0.9072999954223633
2020-06-25_10:21:08.620545,mnist,1,1,Sequential2020-06-25_10:21:08.620575,"(1000,)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9836999773979187,0.9187999963760376,0.9035999774932861
2020-06-25_11:12:45.547616,mnist,1,1,Sequential2020-06-25_11:12:45.547649,"(800,)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9811000227928162,0.8550999760627747,0.8970000147819519
2020-06-25_12:04:27.788062,mnist,1,1,Sequential2020-06-25_12:04:27.788093,"(800,)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9811000227928162,0.940500020980835,0.8924000263214111
2020-06-25_12:47:21.582816,mnist,1,1,Sequential2020-06-25_12:47:21.582847,"(500, 300)",relu,128,200,60000,[],1,greedy,1.584962500721156,2,0.9830999970436096,0.9480999708175659,0.8607000112533569
2020-06-25_13:31:09.132186,mnist,1,1,Sequential2020-06-25_13:31:09.132218,"(500, 300)",relu,128,200,60000,[],1,greedy,1.584962500721156,3,0.9830999970436096,0.9754999876022339,0.7950000166893005
