,data_set,np_seed,tf_seed,serialized_model,trial_idx,rectifier,kernel_init,kernel_size,strides,train_batch_size,epochs,q_train_size,retrain_tries,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-09 20:00:36.099365,mnist,0,0,Sequential2020-06-09 20:00:36.099365,0,relu,GlorotUniform,5,2,128,10,10000,3,1.584962500721156,0.9891999959945679,0.9398999810218811,0.9750000238418579
2020-06-09 20:13:58.921118,mnist,0,0,Sequential2020-06-09 20:13:58.921118,0,relu,GlorotUniform,5,2,128,10,10000,3,2.0,0.9890999794006348,0.8525000214576721,0.9592000246047974
2020-06-09 20:27:16.168747,mnist,0,0,Sequential2020-06-09 20:27:16.168747,0,relu,GlorotUniform,5,2,128,10,10000,3,2.321928094887362,0.9901000261306763,0.9273999929428101,0.9764999747276306
2020-06-09 20:40:30.660946,mnist,0,0,Sequential2020-06-09 20:40:30.660946,0,relu,GlorotUniform,5,2,128,10,10000,3,2.584962500721156,0.9907000064849854,0.9193999767303467,0.9527000188827515
2020-06-09 20:53:40.721857,mnist,0,0,Sequential2020-06-09 20:53:40.721857,0,relu,GlorotUniform,5,2,128,10,10000,3,2.807354922057604,0.9907000064849854,0.8822000026702881,0.9556000232696533
2020-06-09 20:59:22.283624,mnist,0,0,Sequential2020-06-09 20:59:22.283624,0,relu,GlorotUniform,7,2,128,10,10000,1,1.584962500721156,0.9879999756813049,0.9182999730110168,0.9081000089645386
2020-06-09 21:04:58.490775,mnist,0,0,Sequential2020-06-09 21:04:58.490775,0,relu,GlorotUniform,7,2,128,10,10000,1,2.0,0.9833999872207642,0.7684000134468079,0.8816999793052673
2020-06-09 21:10:35.853412,mnist,0,0,Sequential2020-06-09 21:10:35.853412,0,relu,GlorotUniform,7,2,128,10,10000,1,2.321928094887362,0.986299991607666,0.8366000056266785,0.8668000102043152
2020-06-09 21:16:09.990371,mnist,0,0,Sequential2020-06-09 21:16:09.990371,0,relu,GlorotUniform,7,2,128,10,10000,1,2.584962500721156,0.9890999794006348,0.8916000127792358,0.8723999857902527
2020-06-09 21:21:47.214293,mnist,0,0,Sequential2020-06-09 21:21:47.214293,0,relu,GlorotUniform,7,2,128,10,10000,1,2.807354922057604,0.9836999773979187,0.8370000123977661,0.9101999998092651
2020-06-09 21:33:01.425621,mnist,0,0,Sequential2020-06-09 21:33:01.425621,0,relu,GlorotUniform,7,2,128,10,10000,2,1.584962500721156,0.991599977016449,0.970300018787384,0.849399983882904
2020-06-09 21:43:58.859750,mnist,0,0,Sequential2020-06-09 21:43:58.859750,0,relu,GlorotUniform,7,2,128,10,10000,2,2.0,0.9908999800682068,0.9660999774932861,0.9721999764442444
2020-06-09 21:55:13.681765,mnist,0,0,Sequential2020-06-09 21:55:13.681765,0,relu,GlorotUniform,7,2,128,10,10000,2,2.321928094887362,0.9905999898910522,0.97079998254776,0.9253000020980835
2020-06-09 22:06:25.015663,mnist,0,0,Sequential2020-06-09 22:06:25.015663,0,relu,GlorotUniform,7,2,128,10,10000,2,2.584962500721156,0.9912999868392944,0.9620000123977661,0.9387999773025513
2020-06-09 22:17:43.365738,mnist,0,0,Sequential2020-06-09 22:17:43.365738,0,relu,GlorotUniform,7,2,128,10,10000,2,2.807354922057604,0.9916999936103821,0.9544000029563904,0.965399980545044
2020-06-09 22:34:30.261856,mnist,0,0,Sequential2020-06-09 22:34:30.261856,0,relu,GlorotUniform,7,2,128,10,10000,3,1.584962500721156,0.9915000200271606,0.9516000151634216,0.953499972820282
2020-06-09 22:51:01.646470,mnist,0,0,Sequential2020-06-09 22:51:01.646470,0,relu,GlorotUniform,7,2,128,10,10000,3,2.0,0.991100013256073,0.9559999704360962,0.9771000146865845
2020-06-09 23:07:29.313639,mnist,0,0,Sequential2020-06-09 23:07:29.313639,0,relu,GlorotUniform,7,2,128,10,10000,3,2.321928094887362,0.9905999898910522,0.9448000192642212,0.9660999774932861
2020-06-09 23:24:05.729357,mnist,0,0,Sequential2020-06-09 23:24:05.729357,0,relu,GlorotUniform,7,2,128,10,10000,3,2.584962500721156,0.9916999936103821,0.963699996471405,0.9726999998092651
2020-06-09 23:40:31.384743,mnist,0,0,Sequential2020-06-09 23:40:31.384743,0,relu,GlorotUniform,7,2,128,10,10000,3,2.807354922057604,0.9900000095367432,0.964900016784668,0.9758999943733215
2020-06-09 23:43:29.421098,mnist,0,0,Sequential2020-06-09 23:43:29.421098,1,relu,GlorotUniform,3,2,128,10,10000,1,1.584962500721156,0.9857000112533569,0.6599000096321106,0.7802000045776367
2020-06-09 23:46:26.686231,mnist,0,0,Sequential2020-06-09 23:46:26.686231,1,relu,GlorotUniform,3,2,128,10,10000,1,2.0,0.984000027179718,0.7311999797821045,0.8604000210762024
2020-06-09 23:49:23.674773,mnist,0,0,Sequential2020-06-09 23:49:23.674773,1,relu,GlorotUniform,3,2,128,10,10000,1,2.321928094887362,0.9843999743461609,0.7289000153541565,0.8342999815940857
2020-06-09 23:52:21.601001,mnist,0,0,Sequential2020-06-09 23:52:21.601001,1,relu,GlorotUniform,3,2,128,10,10000,1,2.584962500721156,0.9796000123023987,0.8385000228881836,0.7799000144004822
2020-06-09 23:55:20.487251,mnist,0,0,Sequential2020-06-09 23:55:20.487251,1,relu,GlorotUniform,3,2,128,10,10000,1,2.807354922057604,0.9819999933242798,0.8267999887466431,0.708299994468689
2020-06-10 00:01:15.439847,mnist,0,0,Sequential2020-06-10 00:01:15.439847,1,relu,GlorotUniform,3,2,128,10,10000,2,1.584962500721156,0.9865000247955322,0.8353999853134155,0.9294999837875366
2020-06-10 00:07:07.720140,mnist,0,0,Sequential2020-06-10 00:07:07.720140,1,relu,GlorotUniform,3,2,128,10,10000,2,2.0,0.9883999824523926,0.7961999773979187,0.9312000274658203
2020-06-10 00:12:56.772214,mnist,0,0,Sequential2020-06-10 00:12:56.772214,1,relu,GlorotUniform,3,2,128,10,10000,2,2.321928094887362,0.9866999983787537,0.796999990940094,0.957099974155426
2020-06-10 00:18:48.690095,mnist,0,0,Sequential2020-06-10 00:18:48.690095,1,relu,GlorotUniform,3,2,128,10,10000,2,2.584962500721156,0.9871000051498413,0.8141999840736389,0.9254999756813049
2020-06-10 00:24:37.814409,mnist,0,0,Sequential2020-06-10 00:24:37.814409,1,relu,GlorotUniform,3,2,128,10,10000,2,2.807354922057604,0.982200026512146,0.5101000070571899,0.9304999709129333
2020-06-10 00:33:25.897343,mnist,0,0,Sequential2020-06-10 00:33:25.897343,1,relu,GlorotUniform,3,2,128,10,10000,3,1.584962500721156,0.9886999726295471,0.826200008392334,0.9574000239372253
2020-06-10 00:42:16.411421,mnist,0,0,Sequential2020-06-10 00:42:16.411421,1,relu,GlorotUniform,3,2,128,10,10000,3,2.0,0.9884999990463257,0.8661999702453613,0.9645000100135803
