,data_set,np_seed,tf_seed,serialized_model,kernels_per_layer,rectifier,kernel_init,conv_kernel_sizes,conv_strides,dropout_rates,pool_sizes,pool_strides,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-12_19:38:59.281690,mnist,0,0,Sequential2020-06-12_19:38:59.281723,"(64, 32)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9754999876022339,0.7360000014305115,0.5853999853134155
2020-06-12_19:40:14.796381,mnist,0,0,Sequential2020-06-12_19:40:14.796413,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9853000044822693,0.6794999837875366,0.24560000002384186
2020-06-12_19:41:31.006221,mnist,0,0,Sequential2020-06-12_19:41:31.006253,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9853000044822693,0.7483999729156494,0.23649999499320984
2020-06-12_19:42:46.498818,mnist,0,0,Sequential2020-06-12_19:42:46.498849,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9853000044822693,0.7475000023841858,0.23489999771118164
2020-06-12_19:45:15.045011,mnist,0,0,Sequential2020-06-12_19:45:15.045045,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9868000149726868,0.5928999781608582,0.4717999994754791
2020-06-12_19:47:45.617007,mnist,0,0,Sequential2020-06-12_19:47:45.617040,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9850999712944031,0.7343000173568726,0.5989000201225281
2020-06-12_19:50:15.497061,mnist,0,0,Sequential2020-06-12_19:50:15.497093,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9855999946594238,0.7960000038146973,0.5508999824523926
2020-06-12_19:51:33.425642,mnist,0,0,Sequential2020-06-12_19:51:33.425672,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9818000197410583,0.748199999332428,0.48840001225471497
2020-06-12_19:52:51.128704,mnist,0,0,Sequential2020-06-12_19:52:51.128735,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9818000197410583,0.7547000050544739,0.44339999556541443
2020-06-12_19:54:08.889851,mnist,0,0,Sequential2020-06-12_19:54:08.889882,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9818000197410583,0.7601000070571899,0.44290000200271606
2020-06-12_19:56:40.615366,mnist,0,0,Sequential2020-06-12_19:56:40.615398,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.983299970626831,0.6974999904632568,0.5234000086784363
2020-06-12_19:59:15.066247,mnist,0,0,Sequential2020-06-12_19:59:15.066279,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9819999933242798,0.7580000162124634,0.5769000053405762
2020-06-12_20:01:49.861029,mnist,0,0,Sequential2020-06-12_20:01:49.861061,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9843999743461609,0.7882999777793884,0.5771999955177307
2020-06-12_20:03:05.333939,mnist,0,0,Sequential2020-06-12_20:03:05.333971,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9782999753952026,0.6373000144958496,0.3896999955177307
2020-06-12_20:04:20.662743,mnist,0,0,Sequential2020-06-12_20:04:20.662776,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9782999753952026,0.60589998960495,0.2596000134944916
2020-06-12_20:05:36.900808,mnist,0,0,Sequential2020-06-12_20:05:36.900841,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9782999753952026,0.6075999736785889,0.26460000872612
2020-06-12_20:08:05.699777,mnist,0,0,Sequential2020-06-12_20:08:05.699810,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.982200026512146,0.7506999969482422,0.6419000029563904
2020-06-12_20:10:33.887830,mnist,0,0,Sequential2020-06-12_20:10:33.887862,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.982200026512146,0.6324999928474426,0.6129999756813049
2020-06-12_20:13:05.756019,mnist,0,0,Sequential2020-06-12_20:13:05.756052,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9805999994277954,0.5523999929428101,0.5300999879837036
2020-06-12_20:14:21.901365,mnist,0,0,Sequential2020-06-12_20:14:21.901396,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.984000027179718,0.6276000142097473,0.2870999872684479
2020-06-12_20:15:38.829010,mnist,0,0,Sequential2020-06-12_20:15:38.829042,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.984000027179718,0.7075999975204468,0.328900009393692
2020-06-12_20:16:56.331671,mnist,0,0,Sequential2020-06-12_20:16:56.331703,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.984000027179718,0.704200029373169,0.33480000495910645
2020-06-12_20:19:25.499395,mnist,0,0,Sequential2020-06-12_20:19:25.499426,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9847999811172485,0.7921000123023987,0.5960000157356262
2020-06-12_20:21:53.242859,mnist,0,0,Sequential2020-06-12_20:21:53.242891,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9860000014305115,0.9128000140190125,0.6208000183105469
2020-06-12_20:24:22.671150,mnist,0,0,Sequential2020-06-12_20:24:22.671182,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9860000014305115,0.9135000109672546,0.5641999840736389
2020-06-12_20:25:40.910301,mnist,0,0,Sequential2020-06-12_20:25:40.910332,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9793999791145325,0.5475000143051147,0.3328999876976013
2020-06-12_20:26:58.827517,mnist,0,0,Sequential2020-06-12_20:26:58.827547,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9793999791145325,0.5562999844551086,0.3391999900341034
2020-06-12_20:28:16.102544,mnist,0,0,Sequential2020-06-12_20:28:16.102576,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9793999791145325,0.5629000067710876,0.34209999442100525
2020-06-12_20:30:48.328151,mnist,0,0,Sequential2020-06-12_20:30:48.328182,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9819999933242798,0.8759999871253967,0.1843000054359436
2020-06-12_20:33:19.676944,mnist,0,0,Sequential2020-06-12_20:33:19.676980,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.982200026512146,0.8845999836921692,0.34299999475479126
2020-06-12_20:35:51.831895,mnist,0,0,Sequential2020-06-12_20:35:51.831928,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9833999872207642,0.8769000172615051,0.4178999960422516
2020-06-12_20:37:10.114478,mnist,0,0,Sequential2020-06-12_20:37:10.114509,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9768999814987183,0.7261000275611877,0.4302000105381012
2020-06-12_20:38:26.025515,mnist,0,0,Sequential2020-06-12_20:38:26.025549,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9768999814987183,0.6827999949455261,0.35440000891685486
2020-06-12_20:39:41.393301,mnist,0,0,Sequential2020-06-12_20:39:41.393334,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9768999814987183,0.6905999779701233,0.3407000005245209
2020-06-12_20:42:09.029159,mnist,0,0,Sequential2020-06-12_20:42:09.029191,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9810000061988831,0.6467999815940857,0.3375000059604645
2020-06-12_20:44:36.509181,mnist,0,0,Sequential2020-06-12_20:44:36.509213,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9812999963760376,0.6657999753952026,0.43160000443458557
2020-06-12_20:47:03.976022,mnist,0,0,Sequential2020-06-12_20:47:03.976054,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9814000129699707,0.6274999976158142,0.40299999713897705
2020-06-12_20:48:21.565941,mnist,0,0,Sequential2020-06-12_20:48:21.565980,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9818999767303467,0.6847000122070312,0.3003000020980835
2020-06-12_20:49:37.333670,mnist,0,0,Sequential2020-06-12_20:49:37.333702,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9818999767303467,0.7613000273704529,0.3142000138759613
2020-06-12_20:50:52.932455,mnist,0,0,Sequential2020-06-12_20:50:52.932486,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9818999767303467,0.7502999901771545,0.3382999897003174
2020-06-12_20:53:21.797053,mnist,0,0,Sequential2020-06-12_20:53:21.797084,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.983299970626831,0.6725999712944031,0.5383999943733215
2020-06-12_20:55:50.184233,mnist,0,0,Sequential2020-06-12_20:55:50.184268,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.983299970626831,0.7736999988555908,0.4812000095844269
2020-06-12_20:58:18.234601,mnist,0,0,Sequential2020-06-12_20:58:18.234631,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9832000136375427,0.7806000113487244,0.5145000219345093
2020-06-12_20:59:35.890430,mnist,0,0,Sequential2020-06-12_20:59:35.890463,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9746999740600586,0.5123000144958496,0.3962000012397766
2020-06-12_21:00:55.522534,mnist,0,0,Sequential2020-06-12_21:00:55.522566,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9746999740600586,0.41929998993873596,0.4034000039100647
2020-06-12_21:02:13.269966,mnist,0,0,Sequential2020-06-12_21:02:13.269999,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9746999740600586,0.41280001401901245,0.40619999170303345
2020-06-12_21:04:46.451605,mnist,0,0,Sequential2020-06-12_21:04:46.451636,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9807000160217285,0.6934000253677368,0.4787999987602234
2020-06-12_21:07:19.230495,mnist,0,0,Sequential2020-06-12_21:07:19.230527,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9800000190734863,0.8004999756813049,0.49309998750686646
2020-06-12_21:09:52.069437,mnist,0,0,Sequential2020-06-12_21:09:52.069472,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9805999994277954,0.8019999861717224,0.5149999856948853
2020-06-12_21:11:09.191789,mnist,0,0,Sequential2020-06-12_21:11:09.191821,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9710999727249146,0.5497000217437744,0.32030001282691956
2020-06-12_21:12:26.844060,mnist,0,0,Sequential2020-06-12_21:12:26.844094,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9710999727249146,0.5440000295639038,0.3465999960899353
2020-06-12_21:13:42.549869,mnist,0,0,Sequential2020-06-12_21:13:42.549901,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9710999727249146,0.5450999736785889,0.350600004196167
2020-06-12_21:16:10.665983,mnist,0,0,Sequential2020-06-12_21:16:10.666014,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9728000164031982,0.7628999948501587,0.5665000081062317
2020-06-12_21:18:40.272562,mnist,0,0,Sequential2020-06-12_21:18:40.272593,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9728999733924866,0.6578999757766724,0.5076000094413757
2020-06-12_21:21:09.242140,mnist,0,0,Sequential2020-06-12_21:21:09.242171,"(64, 32)",relu,GlorotNormal,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.972599983215332,0.699999988079071,0.4867999851703644
2020-06-12_21:21:36.825141,mnist,0,1,Sequential2020-06-12_21:21:36.825173,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9506999850273132,0.4887999892234802,0.09260000288486481
2020-06-12_21:22:04.522650,mnist,0,1,Sequential2020-06-12_21:22:04.522680,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9506999850273132,0.5299000144004822,0.08940000087022781
2020-06-12_21:22:34.427274,mnist,0,1,Sequential2020-06-12_21:22:34.427307,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9506999850273132,0.5425000190734863,0.08919999748468399
2020-06-12_21:23:27.226649,mnist,0,1,Sequential2020-06-12_21:23:27.226680,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9621999859809875,0.4878999888896942,0.23240000009536743
2020-06-12_21:24:22.283267,mnist,0,1,Sequential2020-06-12_21:24:22.283306,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.958299994468689,0.6055999994277954,0.29260000586509705
2020-06-12_21:25:14.429240,mnist,0,1,Sequential2020-06-12_21:25:14.429274,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9609000086784363,0.5060999989509583,0.2538999915122986
2020-06-12_21:25:42.194601,mnist,0,1,Sequential2020-06-12_21:25:42.194632,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9478999972343445,0.39320001006126404,0.18440000712871552
2020-06-12_21:26:09.933801,mnist,0,1,Sequential2020-06-12_21:26:09.933831,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9478999972343445,0.4797999858856201,0.20469999313354492
2020-06-12_21:26:37.559412,mnist,0,1,Sequential2020-06-12_21:26:37.559443,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9478999972343445,0.46869999170303345,0.1988999992609024
2020-06-12_21:27:32.497541,mnist,0,1,Sequential2020-06-12_21:27:32.497574,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9510999917984009,0.6043000221252441,0.3181000053882599
2020-06-12_21:28:25.685724,mnist,0,1,Sequential2020-06-12_21:28:25.685757,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9592000246047974,0.5612000226974487,0.21930000185966492
2020-06-12_21:29:18.354596,mnist,0,1,Sequential2020-06-12_21:29:18.354632,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.957099974155426,0.5667999982833862,0.15559999644756317
2020-06-12_21:29:45.426699,mnist,0,1,Sequential2020-06-12_21:29:45.426730,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9422000050544739,0.3522000014781952,0.3479999899864197
2020-06-12_21:30:12.281872,mnist,0,1,Sequential2020-06-12_21:30:12.281905,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9422000050544739,0.4871000051498413,0.3467999994754791
2020-06-12_21:30:39.094787,mnist,0,1,Sequential2020-06-12_21:30:39.094819,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9422000050544739,0.49070000648498535,0.3626999855041504
2020-06-12_21:31:29.606910,mnist,0,1,Sequential2020-06-12_21:31:29.606942,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9469000101089478,0.5024999976158142,0.3003999888896942
2020-06-12_21:32:23.210758,mnist,0,1,Sequential2020-06-12_21:32:23.210790,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.948199987411499,0.6184999942779541,0.4528000056743622
2020-06-12_21:33:14.100688,mnist,0,1,Sequential2020-06-12_21:33:14.100719,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9491999745368958,0.6776999831199646,0.47519999742507935
2020-06-12_21:33:41.841367,mnist,0,1,Sequential2020-06-12_21:33:41.841399,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9322999715805054,0.27959999442100525,0.1185000017285347
2020-06-12_21:34:09.474850,mnist,0,1,Sequential2020-06-12_21:34:09.474883,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9322999715805054,0.30169999599456787,0.08919999748468399
2020-06-12_21:34:37.136068,mnist,0,1,Sequential2020-06-12_21:34:37.136097,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9322999715805054,0.3091999888420105,0.08919999748468399
2020-06-12_21:35:29.101577,mnist,0,1,Sequential2020-06-12_21:35:29.101610,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9477999806404114,0.3889999985694885,0.15369999408721924
2020-06-12_21:36:23.297644,mnist,0,1,Sequential2020-06-12_21:36:23.297674,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9445000290870667,0.4165000021457672,0.23469999432563782
2020-06-12_21:37:16.786404,mnist,0,1,Sequential2020-06-12_21:37:16.786436,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9445000290870667,0.39809998869895935,0.249099999666214
2020-06-12_21:37:45.402511,mnist,0,1,Sequential2020-06-12_21:37:45.402543,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.932200014591217,0.3682999908924103,0.28769999742507935
2020-06-12_21:38:13.280815,mnist,0,1,Sequential2020-06-12_21:38:13.280849,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.932200014591217,0.49079999327659607,0.3061999976634979
2020-06-12_21:38:41.058083,mnist,0,1,Sequential2020-06-12_21:38:41.058114,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.932200014591217,0.48069998621940613,0.3125999867916107
2020-06-12_21:39:33.947066,mnist,0,1,Sequential2020-06-12_21:39:33.947100,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9301999807357788,0.5108000040054321,0.4968999922275543
2020-06-12_21:40:26.705854,mnist,0,1,Sequential2020-06-12_21:40:26.705887,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9401999711990356,0.5684999823570251,0.2599000036716461
2020-06-12_21:41:21.900355,mnist,0,1,Sequential2020-06-12_21:41:21.900387,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9394999742507935,0.5534999966621399,0.2563000023365021
2020-06-12_21:41:48.966802,mnist,0,1,Sequential2020-06-12_21:41:48.966833,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9275000095367432,0.4300999939441681,0.21780000627040863
2020-06-12_21:42:15.879332,mnist,0,1,Sequential2020-06-12_21:42:15.879363,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9275000095367432,0.4392000138759613,0.33390000462532043
2020-06-12_21:42:42.765535,mnist,0,1,Sequential2020-06-12_21:42:42.765565,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9275000095367432,0.44119998812675476,0.3366999924182892
2020-06-12_21:43:34.227337,mnist,0,1,Sequential2020-06-12_21:43:34.227367,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9359999895095825,0.6132000088691711,0.3447999954223633
2020-06-12_21:44:24.753401,mnist,0,1,Sequential2020-06-12_21:44:24.753435,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9354000091552734,0.6751999855041504,0.46209999918937683
2020-06-12_21:45:17.751563,mnist,0,1,Sequential2020-06-12_21:45:17.751594,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9370999932289124,0.6625999808311462,0.47269999980926514
2020-06-12_21:45:45.649870,mnist,0,1,Sequential2020-06-12_21:45:45.649902,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9101999998092651,0.3483000099658966,0.08919999748468399
