,data_set,np_seed,tf_seed,serialized_model,kernels_per_layer,rectifier,kernel_init,conv_kernel_sizes,conv_strides,dropout_rates,pool_sizes,pool_strides,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-12_14:46:51.719073,mnist,0,0,Sequential2020-06-12_14:46:51.719103,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.2, 0.2)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9445000290870667,0.5849000215530396,0.4652999937534332
2020-06-12_14:47:19.759642,mnist,0,0,Sequential2020-06-12_14:47:19.759673,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9366000294685364,0.257999986410141,0.243599995970726
2020-06-12_14:47:48.078008,mnist,0,0,Sequential2020-06-12_14:47:48.078041,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9366000294685364,0.27459999918937683,0.26510000228881836
2020-06-12_14:48:16.387655,mnist,0,0,Sequential2020-06-12_14:48:16.387686,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9366000294685364,0.2892000079154968,0.27630001306533813
2020-06-12_14:49:10.323994,mnist,0,0,Sequential2020-06-12_14:49:10.324026,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9523000121116638,0.3481000065803528,0.1216999962925911
2020-06-12_14:50:03.648432,mnist,0,0,Sequential2020-06-12_14:50:03.648464,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9491999745368958,0.26910001039505005,0.34700000286102295
2020-06-12_14:50:57.862989,mnist,0,0,Sequential2020-06-12_14:50:57.863018,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9487000107765198,0.2994000017642975,0.3813999891281128
2020-06-12_14:51:26.394016,mnist,0,0,Sequential2020-06-12_14:51:26.394049,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.9100000262260437,0.34599998593330383,0.27320000529289246
2020-06-12_14:51:54.403694,mnist,0,0,Sequential2020-06-12_14:51:54.403726,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.9100000262260437,0.4052000045776367,0.28519999980926514
2020-06-12_14:52:22.975285,mnist,0,0,Sequential2020-06-12_14:52:22.975315,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.9100000262260437,0.40959998965263367,0.2937999963760376
2020-06-12_14:53:16.085757,mnist,0,0,Sequential2020-06-12_14:53:16.085789,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.35, 0.35)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9330999851226807,0.34940001368522644,0.16220000386238098
