,data_set,np_seed,tf_seed,serialized_model,layer_widths,rectifier,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,alphabet_scalar,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-17_19:22:33.943760,mnist,1,0,Sequential2020-06-17_19:22:33.943792,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9801999926567078,0.968999981880188,0.9595999717712402
2020-06-17_19:59:45.190068,mnist,1,0,Sequential2020-06-17_19:59:45.190099,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9801999926567078,0.9745000004768372,0.9355000257492065
2020-06-17_20:37:22.988914,mnist,1,0,Sequential2020-06-17_20:37:22.988946,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9801999926567078,0.9703999757766724,0.7024000287055969
2020-06-17_21:23:05.402716,mnist,1,1,Sequential2020-06-17_21:23:05.402748,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9800000190734863,0.838100016117096,0.9190000295639038
2020-06-17_22:09:08.981462,mnist,1,1,Sequential2020-06-17_22:09:08.981495,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9800000190734863,0.9585000276565552,0.944599986076355
2020-06-17_22:54:30.967795,mnist,1,1,Sequential2020-06-17_22:54:30.967830,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9800000190734863,0.9739000201225281,0.930899977684021
2020-06-17_23:40:35.036366,mnist,1,1,Sequential2020-06-17_23:40:35.036397,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9800000190734863,0.9700000286102295,0.8877000212669373
2020-06-18_00:37:31.378894,mnist,1,1,Sequential2020-06-18_00:37:31.378926,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9779000282287598,0.8277999758720398,0.9197999835014343
2020-06-18_01:34:33.789834,mnist,1,1,Sequential2020-06-18_01:34:33.789867,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9779000282287598,0.9596999883651733,0.9315999746322632
2020-06-18_02:31:42.525932,mnist,1,1,Sequential2020-06-18_02:31:42.525962,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9779000282287598,0.9710999727249146,0.90829998254776
2020-06-18_03:29:09.444107,mnist,1,1,Sequential2020-06-18_03:29:09.444137,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9779000282287598,0.9717000126838684,0.8798999786376953
2020-06-18_04:06:50.843037,mnist,1,1,Sequential2020-06-18_04:06:50.843070,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9793999791145325,0.8550000190734863,0.8702999949455261
2020-06-18_04:44:37.381829,mnist,1,1,Sequential2020-06-18_04:44:37.381860,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9793999791145325,0.9699000120162964,0.944100022315979
2020-06-18_05:22:05.731858,mnist,1,1,Sequential2020-06-18_05:22:05.731888,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9793999791145325,0.9728999733924866,0.9355999827384949
2020-06-18_05:59:22.839692,mnist,1,1,Sequential2020-06-18_05:59:22.839724,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9793999791145325,0.9740999937057495,0.7473999857902527
