,data_set,np_seed,tf_seed,serialized_model,layer_widths,rectifier,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,alphabet_scalar,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-16_16:42:32.750596,mnist,0,0,Sequential2020-06-16_16:42:32.750626,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9760000109672546,0.7814000248908997,0.9168000221252441
2020-06-16_17:30:32.827463,mnist,0,0,Sequential2020-06-16_17:30:32.827495,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9760000109672546,0.9563999772071838,0.9154999852180481
2020-06-16_18:17:34.568504,mnist,0,0,Sequential2020-06-16_18:17:34.568535,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9760000109672546,0.9682000279426575,0.923799991607666
2020-06-16_19:03:05.135922,mnist,0,0,Sequential2020-06-16_19:03:05.135957,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9760000109672546,0.9700999855995178,0.8816999793052673
2020-06-16_20:00:01.211005,mnist,0,0,Sequential2020-06-16_20:00:01.211036,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9761000275611877,0.7074999809265137,0.9248999953269958
2020-06-16_20:57:01.588182,mnist,0,0,Sequential2020-06-16_20:57:01.588214,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9761000275611877,0.9435999989509583,0.9366000294685364
2020-06-16_21:53:44.555726,mnist,0,0,Sequential2020-06-16_21:53:44.555756,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9761000275611877,0.9693999886512756,0.9014000296592712
2020-06-16_22:50:47.129889,mnist,0,0,Sequential2020-06-16_22:50:47.129920,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9761000275611877,0.9668999910354614,0.887499988079071
2020-06-16_23:28:19.939901,mnist,0,0,Sequential2020-06-16_23:28:19.939934,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9801999926567078,0.8410000205039978,0.8622000217437744
2020-06-17_00:05:44.268737,mnist,0,0,Sequential2020-06-17_00:05:44.268770,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9801999926567078,0.968999981880188,0.9595999717712402
2020-06-17_00:43:12.295162,mnist,0,0,Sequential2020-06-17_00:43:12.295194,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9801999926567078,0.9745000004768372,0.9355000257492065
2020-06-17_01:20:11.247567,mnist,0,0,Sequential2020-06-17_01:20:11.247598,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9801999926567078,0.9703999757766724,0.7024000287055969
2020-06-17_02:05:45.623361,mnist,0,1,Sequential2020-06-17_02:05:45.623398,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9800000190734863,0.838100016117096,0.9190000295639038
2020-06-17_02:51:13.559534,mnist,0,1,Sequential2020-06-17_02:51:13.559568,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9800000190734863,0.9585000276565552,0.944599986076355
2020-06-17_03:36:49.556948,mnist,0,1,Sequential2020-06-17_03:36:49.556980,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9800000190734863,0.9739000201225281,0.930899977684021
2020-06-17_04:22:17.750917,mnist,0,1,Sequential2020-06-17_04:22:17.750949,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9800000190734863,0.9700000286102295,0.8877000212669373
2020-06-17_05:19:19.435561,mnist,0,1,Sequential2020-06-17_05:19:19.435593,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9779000282287598,0.8277999758720398,0.9197999835014343
2020-06-17_06:16:09.569698,mnist,0,1,Sequential2020-06-17_06:16:09.569730,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9779000282287598,0.9596999883651733,0.9315999746322632
2020-06-17_07:13:10.431648,mnist,0,1,Sequential2020-06-17_07:13:10.431679,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9779000282287598,0.9710999727249146,0.90829998254776
2020-06-17_08:10:02.889193,mnist,0,1,Sequential2020-06-17_08:10:02.889223,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9779000282287598,0.9717000126838684,0.8798999786376953
2020-06-17_08:47:21.234194,mnist,0,1,Sequential2020-06-17_08:47:21.234227,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9793999791145325,0.8550000190734863,0.8702999949455261
2020-06-17_09:24:34.145808,mnist,0,1,Sequential2020-06-17_09:24:34.145840,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9793999791145325,0.9699000120162964,0.944100022315979
2020-06-17_10:02:04.072708,mnist,0,1,Sequential2020-06-17_10:02:04.072739,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9793999791145325,0.9728999733924866,0.9355999827384949
2020-06-17_10:40:16.096559,mnist,0,1,Sequential2020-06-17_10:40:16.096594,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9793999791145325,0.9740999937057495,0.7473999857902527
2020-06-17_11:29:08.868557,mnist,1,0,Sequential2020-06-17_11:29:08.868595,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9760000109672546,0.7814000248908997,0.9168000221252441
2020-06-17_12:17:18.251025,mnist,1,0,Sequential2020-06-17_12:17:18.251056,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9760000109672546,0.9563999772071838,0.9154999852180481
2020-06-17_13:05:53.505547,mnist,1,0,Sequential2020-06-17_13:05:53.505578,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9760000109672546,0.9682000279426575,0.923799991607666
2020-06-17_14:09:56.420119,mnist,1,0,Sequential2020-06-17_14:09:56.420152,"(800,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9760000109672546,0.9700999855995178,0.8816999793052673
2020-06-17_15:16:14.540778,mnist,1,0,Sequential2020-06-17_15:16:14.540809,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9761000275611877,0.7074999809265137,0.9248999953269958
2020-06-17_16:13:24.921824,mnist,1,0,Sequential2020-06-17_16:13:24.921855,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,2.0,0.9761000275611877,0.9435999989509583,0.9366000294685364
2020-06-17_17:10:28.977751,mnist,1,0,Sequential2020-06-17_17:10:28.977784,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,3.0,0.9761000275611877,0.9693999886512756,0.9014000296592712
2020-06-17_18:07:31.460145,mnist,1,0,Sequential2020-06-17_18:07:31.460177,"(1000,)",relu,128,20,60000,[],1,greedy,1.584962500721156,4.0,0.9761000275611877,0.9668999910354614,0.887499988079071
2020-06-17_18:44:54.835931,mnist,1,0,Sequential2020-06-17_18:44:54.835963,"(500, 300)",relu,128,20,60000,[],1,greedy,1.584962500721156,1.0,0.9801999926567078,0.8410000205039978,0.8622000217437744
