,data_set,np_seed,tf_seed,serialized_model,layer_widths,rectifier,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,alphabet_scalar,analog_test_acc,sd_test_acc,msq_test_acc
2020-07-10_15:22:57.638812,mnist,0,0,Sequential2020-07-10_15:22:57.638843,"(500, 300)",relu,128,200,25000,[],1,greedy,1.584962500721156,2,0.9843999743461609,0.9437999725341797,0.920199990272522
2020-07-10_15:39:45.520340,mnist,0,0,Sequential2020-07-10_15:39:45.520371,"(500, 300)",relu,128,200,25000,[],1,greedy,1.584962500721156,3,0.9843999743461609,0.974399983882904,0.7588000297546387
2020-07-10_15:57:12.935914,mnist,0,0,Sequential2020-07-10_15:57:12.935945,"(500, 300)",relu,128,200,25000,[],1,greedy,1.584962500721156,4,0.9843999743461609,0.9749000072479248,0.7768999934196472
2020-07-10_16:14:41.775624,mnist,0,0,Sequential2020-07-10_16:14:41.775656,"(500, 300)",relu,128,200,25000,[],1,greedy,2.0,2,0.9843999743461609,0.9370999932289124,0.9253000020980835
2020-07-10_16:31:47.141185,mnist,0,0,Sequential2020-07-10_16:31:47.141217,"(500, 300)",relu,128,200,25000,[],1,greedy,2.0,3,0.9843999743461609,0.955299973487854,0.9277999997138977
2020-07-10_16:48:30.582733,mnist,0,0,Sequential2020-07-10_16:48:30.582764,"(500, 300)",relu,128,200,25000,[],1,greedy,2.0,4,0.9843999743461609,0.6869999766349792,0.9373000264167786
2020-07-10_17:05:23.952809,mnist,0,0,Sequential2020-07-10_17:05:23.952840,"(500, 300)",relu,128,200,25000,[],1,greedy,3.0,2,0.9843999743461609,0.9459999799728394,0.9456999897956848
2020-07-10_17:22:57.027014,mnist,0,0,Sequential2020-07-10_17:22:57.027047,"(500, 300)",relu,128,200,25000,[],1,greedy,3.0,3,0.9843999743461609,0.9757999777793884,0.9606000185012817
2020-07-10_17:40:06.848132,mnist,0,0,Sequential2020-07-10_17:40:06.848168,"(500, 300)",relu,128,200,25000,[],1,greedy,3.0,4,0.9843999743461609,0.9817000031471252,0.9571999907493591
2020-07-10_17:57:29.980683,mnist,0,0,Sequential2020-07-10_17:57:29.980715,"(500, 300)",relu,128,200,25000,[],1,greedy,4.0,2,0.9843999743461609,0.9444000124931335,0.9451000094413757
2020-07-10_18:14:44.114058,mnist,0,0,Sequential2020-07-10_18:14:44.114088,"(500, 300)",relu,128,200,25000,[],1,greedy,4.0,3,0.9843999743461609,0.9758999943733215,0.9621999859809875
2020-07-10_18:31:36.049233,mnist,0,0,Sequential2020-07-10_18:31:36.049262,"(500, 300)",relu,128,200,25000,[],1,greedy,4.0,4,0.9843999743461609,0.9814000129699707,0.9721999764442444
